RhymeSegment	Characters	OC_RhymeGroup	Tones	Source	Page	TableID
3	方、章、員、門	陽部、文部	平 平 平 平	《爲吏之道》 《爲吏之道》	169	P169_T001
5	哀、衰、柔	微、幽部	平 平 平	《爲吏之道》	169	P169_T001
9	身、貧、存	真、文部	平 平 平	《爲吏之道》	169	P169_T001
14	歸、遺、追	微部	平 平 平	《爲吏之道》	169	P169_T001
20	徵、興、乘	蒸部	平 平 平	《爲吏之道》	169	P169_T001
24	成、寧、經	耕部	平 平 平	《爲吏之道》	169	P169_T001
26	追、遺、歸	微部	平 平 平	《爲吏之道》	169	P169_T001
28	人、身、真、親	真部	平 平 平 平	《爲吏之道》	169	P169_T001
34	方、長、陽	陽部	平 平 平	《爲吏之道》	169	P169_T001
35	關、言、幾、追	元部、微部	平 平 平 平	《爲吏之道》	169	P169_T001
37	人、人	真部	平 平	《爲吏之道》	169	P169_T001
39	年、成	真、耕部	平 平	《爲吏之道》	169	P169_T001
41	光、王	陽部	平 平	《稷辰》 《稷辰》	169	P169_T001
44	陽、行	陽部	平 平	《稷辰》	169	P169_T001
45	夫、如、昌	魚、陽部	平 平 平	《稷辰》	169	P169_T001
51	方、羊、亡、英、鄉	陽部	平 平 平 平 平	《歲》 《歲》	169	P169_T001
52	喪、英、亡、英	陽部	平 平 平 平	《十二支忌》 《十二支忌》	169	P169_T001
55	行、羊、央	陽部	平 平 平	《詰》 《詰》	169	P169_T001
58	中、行	冬、陽部	平 平	《馬禖》 《馬禖》	169	P169_T001
2	央、明	陽部	平 平	《鼠食》 《鼠食》	169	P169_T001
8	居、家、虚、巫	魚部	平 平 平 平	《自天降令》 《自天降令》	169	P169_T001
10	行、朢、羊、兄、亡、喪、唐、霜	陽部	平 平 平 平 平 平 平 平	《自天降令》	169	P169_T001
15	田、申、人	真部	平 平 平	《自天降令》	169	P169_T001
16	鐘、明、陽	東、陽部	平 平 平	《自天降令》	169	P169_T001
17	心、音、心	侵部	平 平 平	《自天降令》	169	P169_T001
19	東、南	東、侵部	平 平	《自天降令》	169	P169_T001
22	賓、新、冥、申、心、容	真部、耕、真部、侵、東部	平 平 平 平 平 平	《自天降令》	169	P169_T001
25	人、心、申、人	真、侵部、真部	平 平 平 平	《自天降令》	170	P170_T001
26	兢、增、勝、祠	蒸、之部	平 平 平 平 平	《自天降令》	170	P170_T001
7	成、寧、經	耕部	平 平 平	《政事之常》 《政事之常》	170	P170_T001
9	天、天	真部	平 平	《歸藏》 《歸藏》	170	P170_T001
10	蒼、陽	陽部	平 平	《歸藏》	170	P170_T001
4	身、心	真、侵部	平 平	"《爲吏治官及黔
首》 《爲吏治官及黔 首》"	170	P170_T001
8	憂、交	幽、宵部	平 平	"《爲吏治官及黔
首》"	170	P170_T001
9	強、明	陽部	平 平	"《爲吏治官及黔
首》"	170	P170_T001
18	歸、追、遺	微部	平 平 平	"《爲吏治官及黔
首》"	170	P170_T001
20	身、鄰	真部	平 平	"《爲吏治官及黔
首》"	170	P170_T001
2	樟、英	陽部	平 平	《公子從軍》 《公子從軍》	170	P170_T001
13	光、黃、旁、當、明	陽部	平 平 平 平 平	《禹九策》 《禹九策》	170	P170_T001
14	夫、纑、塗、餘	魚部	平 平 平 平	《禹九策》	170	P170_T001
17		耕部	平 清 嬰 平 平 平	《禹九策》	170	P170_T001
18	䌛、囚	宵、幽部	平 平	《禹九策》	170	P170_T001
19	流、求、膠	幽、宵部	平 平 平	《禹九策》	170	P170_T001
20	行、䖟、神、人	陽部、真部	平 平 平 平	《禹九策》	170	P170_T001
23	神、人	真部	平 平	《禹九策》	170	P170_T001
26	流、憂、囚	幽部	平 平 平	《禹九策》	170	P170_T001
29	羊、兄	陽部	平 平	《禹九策》	170	P170_T001
33	行、行、軲	陽、魚部	平 平 平	《禹九策》	170	P170_T001
37	陽、常、臧	陽部	平 平 平	《禹九策》	170	P170_T001
40	行、陽	陽部	平 平	《禹九策》	170	P170_T001
43	播、讙、華、圖	歌、元部、魚部	平 平 平 平	《禹九策》	170	P170_T001
48	訧、來、時、祠、之、牛、久、來、謀、牛	之部	平 平 平 平 平 平 平 平	《禹九策》	170	P170_T001
50	終、中、竆、竆、共（供）、攻、庸	冬部、東部	平 平 平 平 平 平 平	《禹九策》	170	P170_T001
